01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
74,22,17,17,21,10,33,48,37,20,119,170,302,171,39,17,17,18,6,22,33,86,256,40,16,63,170,92,27,20,11,15,27,53,29,22,12,27,17,68,15,33,35,25,24,45,21,Aug-06
54,22,12,23,12,17,23,29,23,34,113,146,248,151,27,24,10,9,11,18,48,71,193,32,22,61,151,93,14,23,15,6,28,53,30,17,18,19,12,60,12,31,26,25,11,31,23,Sep-06
64,21,11,22,14,14,20,43,24,23,119,148,265,140,38,24,20,11,11,25,36,94,213,29,19,73,167,106,18,17,6,8,30,39,29,11,23,24,11,68,11,43,29,39,27,38,24,Oct-06
75,16,13,17,21,18,11,32,37,25,102,150,299,129,35,16,12,6,11,26,39,80,212,15,14,41,173,92,33,19,9,9,33,54,27,9,13,20,16,72,13,34,30,12,13,24,14,Nov-06
44,26,22,37,9,10,24,45,14,26,84,116,282,133,30,8,12,10,11,29,42,87,194,27,17,55,138,85,19,17,6,14,24,40,24,19,19,25,14,77,15,40,29,26,18,18,32,Dec-06
61,21,18,18,13,9,16,30,14,26,98,88,215,131,21,15,18,11,8,8,34,50,138,34,15,33,185,110,19,12,7,7,32,26,29,12,17,20,9,80,18,24,32,17,19,23,20,Jan-07
57,14,13,26,13,9,18,28,19,17,78,84,219,109,17,14,7,15,9,16,37,31,107,19,20,40,231,91,17,30,4,9,27,32,25,15,5,20,11,55,8,24,22,17,14,25,19,Feb-07
54,18,9,26,14,10,31,33,16,25,110,88,282,135,33,18,18,6,10,24,35,55,140,30,17,52,228,113,28,19,9,9,29,38,24,17,15,17,8,67,17,28,25,21,9,23,26,Mar-07
72,22,13,22,12,6,15,36,22,19,102,100,260,145,25,14,23,16,9,28,33,54,143,38,21,49,217,101,18,21,4,13,32,39,15,13,17,21,9,85,5,23,29,16,11,29,12,Apr-07
61,21,14,16,14,9,17,53,22,21,112,107,311,146,24,21,20,10,9,19,46,53,157,27,21,55,239,92,19,21,5,7,30,41,33,20,16,21,16,107,19,31,24,18,17,32,19,May-07
64,22,12,17,12,6,18,42,31,24,129,95,312,162,29,15,11,3,9,18,42,66,139,22,19,53,259,119,20,19,8,7,43,43,31,13,23,28,14,95,14,33,23,16,20,45,20,Jun-07
68,15,11,29,9,10,25,47,23,28,139,106,282,150,31,18,14,16,5,23,52,67,149,37,23,46,275,118,33,18,13,12,20,49,21,13,16,30,13,101,21,28,29,16,16,29,28,Jul-07
66,20,20,29,18,9,25,42,21,30,133,98,316,160,32,12,20,13,9,20,44,70,151,30,20,75,272,118,14,29,15,8,24,34,12,13,23,22,16,101,17,29,40,26,18,29,18,Aug-07
50,11,11,21,11,10,22,41,25,25,93,81,230,127,31,17,16,15,6,16,37,56,128,19,12,39,206,102,19,13,6,10,29,37,26,13,9,30,17,84,9,32,26,20,15,34,18,Sep-07
58,24,11,27,14,19,23,36,22,20,102,103,294,127,31,16,15,11,11,14,43,62,157,25,20,60,301,108,26,13,4,19,36,47,19,20,17,30,13,80,24,43,35,22,19,35,24,Oct-07
77,22,17,23,12,27,19,31,27,21,88,99,295,128,20,20,21,13,14,18,33,45,136,28,13,60,257,99,18,18,8,9,25,37,18,14,17,29,10,83,9,27,32,13,16,28,25,Nov-07
59,22,16,16,7,19,25,37,17,27,115,98,289,134,28,20,19,7,6,21,36,53,137,33,18,40,299,100,22,27,8,6,25,49,22,14,16,15,15,88,11,35,33,29,14,30,23,Dec-07
49,19,15,23,14,11,22,23,24,29,76,84,231,114,22,20,8,11,12,19,29,45,128,19,10,47,210,81,23,20,4,10,30,33,16,9,8,15,12,79,13,23,24,25,18,22,19,Jan-08
51,28,15,25,10,11,17,40,28,23,98,85,245,133,32,16,16,12,10,19,42,43,143,19,24,33,234,104,24,14,10,6,30,40,26,11,19,21,8,84,15,19,27,20,14,30,17,Feb-08
59,20,10,18,11,10,15,34,19,13,95,86,262,137,15,15,15,6,8,16,41,52,155,43,22,34,209,94,23,20,6,7,25,30,23,13,9,21,8,93,9,33,23,23,14,42,18,Mar-08
51,39,15,18,19,5,22,32,26,23,104,77,265,136,24,17,15,16,13,23,32,45,142,25,21,55,241,98,13,24,7,4,31,35,17,16,21,18,9,97,12,36,29,23,9,33,22,Apr-08
56,27,13,27,9,12,21,30,23,15,108,98,289,118,23,9,18,8,12,22,34,66,143,23,21,60,260,95,26,22,8,13,25,40,26,19,24,19,10,78,11,45,29,31,17,26,24,May-08
52,26,22,29,10,14,29,26,25,21,117,102,273,134,26,17,18,4,7,25,33,44,139,41,20,34,245,122,24,24,6,15,30,50,27,17,16,19,13,97,15,32,34,29,22,29,26,Jun-08
60,35,21,29,5,16,24,35,27,22,116,118,292,157,35,12,13,12,3,17,48,49,162,25,22,47,263,123,34,21,10,10,32,49,24,22,15,23,20,92,18,35,32,23,21,36,26,Jul-08
64,21,30,26,9,11,17,46,27,19,90,88,301,134,15,11,12,15,6,15,34,60,141,24,23,43,238,112,26,24,9,9,25,41,28,16,22,15,11,99,9,18,31,29,15,41,19,Aug-08
64,27,8,27,14,12,31,44,18,20,106,92,241,141,24,12,7,9,5,16,36,66,139,27,15,46,267,115,18,23,4,10,35,40,9,16,21,12,11,100,10,23,33,21,11,31,25,Sep-08
71,20,9,23,9,17,33,47,21,19,107,98,292,166,26,11,20,11,9,20,27,58,148,27,27,42,268,133,23,20,4,10,26,42,25,16,15,27,9,79,19,23,26,23,19,29,31,Oct-08
45,13,16,18,10,12,26,31,17,23,85,76,253,134,22,10,11,8,4,16,31,42,116,23,17,36,196,97,30,21,6,21,17,32,12,14,17,17,12,80,13,30,31,17,14,35,27,Nov-08
65,21,13,23,9,10,20,34,27,22,94,95,284,125,25,11,17,6,9,13,27,52,133,29,23,55,254,112,17,15,8,13,28,43,27,11,22,13,9,84,12,37,25,22,19,22,23,Dec-08
53,17,13,23,11,17,22,36,23,21,88,93,232,100,14,11,13,6,6,15,45,36,134,20,19,42,178,112,27,14,8,13,26,37,23,9,17,12,6,73,4,21,28,17,20,18,24,Jan-09
59,22,7,23,7,14,15,29,24,16,88,82,245,136,19,13,17,7,3,17,33,41,116,23,20,34,191,86,17,13,10,10,18,40,21,11,16,20,16,76,7,24,23,22,13,20,13,Feb-09
73,22,12,19,11,11,21,41,13,13,90,90,276,135,26,15,7,15,11,23,28,59,152,31,29,60,224,83,21,28,7,16,22,33,28,10,17,18,11,89,16,24,30,31,18,24,23,Mar-09
43,27,13,26,6,17,25,44,20,21,120,112,310,151,29,17,13,11,13,19,32,62,148,29,23,50,282,110,27,22,8,8,39,49,16,19,24,29,14,98,15,31,33,27,20,40,23,Apr-09
60,20,10,24,10,14,18,29,27,19,91,95,273,136,22,17,21,13,10,13,39,60,133,26,7,57,235,117,27,20,6,8,32,35,28,12,17,15,14,94,12,24,24,21,10,36,15,May-09
53,15,18,17,15,9,22,42,27,19,105,96,268,137,30,21,12,16,9,22,42,66,136,34,17,58,249,93,22,23,9,9,33,52,19,16,18,27,16,92,18,24,30,22,15,27,18,Jun-09
73,27,14,32,16,10,24,49,24,11,117,111,316,165,19,9,17,12,11,23,36,68,150,29,26,48,295,112,35,21,6,13,30,41,17,12,19,24,13,114,12,26,36,23,16,31,17,Jul-09
62,18,10,18,11,11,18,32,17,13,103,93,253,143,24,7,16,12,4,27,31,36,160,30,21,50,238,124,25,23,7,8,28,35,28,16,20,15,16,63,10,31,29,23,12,26,12,Aug-09
45,18,10,17,14,8,11,36,17,10,99,93,258,120,32,11,11,9,8,21,41,49,132,24,9,44,248,100,24,11,7,13,22,36,11,12,13,15,7,72,15,26,29,18,19,22,22,Sep-09
44,13,17,19,8,12,20,38,24,18,96,78,291,150,24,14,16,10,3,21,35,48,124,21,16,42,244,109,36,17,9,14,28,40,26,10,13,19,6,69,19,31,26,21,16,35,23,Oct-09
43,21,13,23,8,9,19,37,20,22,99,80,248,134,15,20,11,8,9,20,45,35,130,18,13,40,193,93,17,12,6,8,24,44,25,14,12,15,7,71,7,24,19,15,11,35,24,Nov-09
68,18,14,27,8,13,21,33,25,21,94,86,249,126,28,5,19,7,8,22,41,53,143,27,20,44,198,87,20,20,8,12,30,44,14,14,19,23,17,81,9,30,30,22,12,33,21,Dec-09
55,15,5,11,12,7,15,27,20,17,79,69,236,107,12,9,23,8,7,15,31,48,127,26,15,25,189,86,19,16,4,13,16,30,13,10,8,21,11,67,9,21,23,11,12,20,23,Jan-10
41,12,6,16,9,13,23,28,16,17,83,70,234,97,21,9,12,5,13,17,24,36,130,21,17,42,205,80,19,9,6,12,11,34,20,8,9,26,11,65,9,26,25,16,7,34,16,Feb-10
64,14,16,20,22,9,17,26,21,16,82,100,256,134,15,12,16,12,7,18,39,47,155,21,21,41,212,91,22,16,7,11,21,41,15,11,11,21,11,72,13,21,31,14,16,31,13,Mar-10
67,11,15,21,15,10,23,31,23,24,88,105,254,153,23,13,17,11,8,10,44,44,151,23,18,41,244,108,19,19,4,7,34,46,20,15,9,25,10,85,23,31,25,15,7,28,23,Apr-10
36,14,18,17,7,13,23,38,27,24,103,92,266,128,26,9,16,9,6,7,30,49,119,25,12,38,207,91,16,21,2,11,27,35,16,14,11,16,9,79,13,29,23,17,16,32,22,May-10
61,22,16,19,12,4,24,38,24,21,122,97,284,174,31,9,19,11,14,20,29,55,155,30,20,43,236,104,24,11,8,8,32,44,26,13,14,36,13,89,14,29,29,27,15,25,31,Jun-10
65,15,16,27,14,9,20,47,21,22,95,110,257,155,30,17,14,13,10,7,40,54,144,20,15,57,231,101,21,26,9,14,23,38,17,16,19,18,12,93,19,34,34,25,12,42,25,Jul-10
71,21,18,37,12,14,16,34,19,11,98,89,260,124,20,21,20,11,10,21,47,56,136,22,17,47,229,109,26,22,11,7,22,43,19,9,14,30,14,85,14,28,19,26,13,42,24,Aug-10
58,17,14,24,6,12,15,35,21,22,96,64,250,115,35,12,17,7,12,21,26,60,126,32,23,40,229,93,18,21,6,13,23,40,18,10,13,25,7,80,21,24,27,20,17,25,25,Sep-10
62,17,11,27,17,13,27,36,25,16,102,102,244,118,29,9,14,6,11,26,34,62,135,19,21,43,207,104,17,13,7,6,25,33,28,13,15,22,15,75,16,38,23,16,11,26,21,Oct-10
49,16,19,24,13,17,27,37,18,13,92,88,237,142,29,8,19,12,16,14,35,53,139,21,14,41,212,106,15,15,11,14,23,31,17,9,15,11,9,85,11,28,25,24,9,24,17,Nov-10
56,14,8,22,17,10,17,33,21,17,100,88,267,130,20,16,5,10,16,20,31,76,147,33,12,43,247,94,21,19,7,13,26,40,19,12,14,25,13,98,15,23,23,20,17,23,20,Dec-10
43,16,6,15,6,9,11,33,14,18,94,72,229,131,15,7,14,7,4,19,27,36,111,27,25,35,188,83,15,14,10,10,15,38,20,11,17,19,10,64,13,19,21,22,19,25,19,Jan-11
60,9,13,19,3,13,18,30,22,21,90,79,243,119,21,10,15,9,3,14,30,43,121,21,19,40,197,90,21,16,7,6,25,30,20,17,8,12,9,71,12,22,26,13,18,25,21,Feb-11
65,15,9,14,5,6,17,42,21,16,112,78,236,142,24,16,24,14,13,15,28,59,138,21,24,33,216,84,21,13,12,10,27,42,20,10,10,19,6,76,13,30,24,21,16,26,21,Mar-11
49,15,8,15,6,13,14,37,24,14,79,77,250,116,20,11,14,15,8,14,39,64,123,27,22,41,198,110,26,27,1,8,22,42,21,9,9,19,9,87,20,12,35,17,8,27,14,Apr-11
49,19,9,16,9,9,20,34,18,13,95,88,209,134,17,13,20,17,15,19,39,43,135,17,18,40,221,113,24,19,7,9,23,32,18,16,11,18,12,72,15,22,33,16,17,20,25,May-11
64,18,6,20,16,10,24,53,25,16,106,93,254,143,28,13,14,7,7,25,43,55,129,23,20,50,206,117,21,16,5,14,34,41,23,12,8,15,18,79,14,28,23,21,13,37,26,Jun-11
49,17,13,23,18,8,20,28,22,29,112,87,262,135,23,15,15,5,10,15,37,41,137,16,18,39,208,88,21,22,8,12,37,41,29,14,16,18,18,72,12,32,32,15,16,25,18,Jul-11
33,14,16,20,14,8,24,41,26,21,107,100,271,151,28,12,13,13,11,19,46,47,132,29,22,48,225,104,25,21,5,12,29,38,18,18,13,18,14,99,6,24,27,12,18,17,32,Aug-11
60,19,6,21,17,16,13,37,30,17,79,87,270,132,26,22,15,9,6,23,30,57,144,23,27,48,213,91,20,32,5,12,27,39,24,20,8,27,14,81,19,24,27,19,9,20,20,Sep-11
65,19,10,22,14,17,22,25,18,24,104,84,252,112,24,11,12,10,7,21,40,46,101,22,13,41,196,82,22,26,9,12,25,26,15,18,8,25,17,74,18,23,17,23,19,32,29,Oct-11
39,18,11,17,9,14,17,33,20,15,92,99,249,113,22,18,17,8,8,19,33,42,130,26,16,36,206,89,22,12,6,20,28,37,22,21,15,8,6,84,11,30,27,22,10,23,19,Nov-11
47,19,10,26,10,8,28,38,20,20,91,84,297,133,20,10,17,10,5,14,42,46,125,28,20,38,210,89,23,16,3,14,19,28,30,18,16,20,13,79,15,31,37,22,16,28,25,Dec-11
42,14,7,21,13,11,15,33,13,18,85,76,213,102,17,11,9,8,6,8,26,34,100,18,15,34,179,90,17,17,7,14,15,29,21,14,10,22,5,64,9,26,22,18,9,22,19,Jan-12
48,15,11,24,12,12,13,31,19,13,84,73,225,118,21,12,8,8,7,17,28,44,95,21,14,34,195,84,22,11,3,9,18,44,17,9,11,19,8,79,7,26,22,18,15,23,25,Feb-12
39,16,10,16,9,7,11,32,31,16,100,70,244,117,24,12,11,7,9,17,35,39,119,21,10,34,207,101,20,19,5,15,24,23,18,10,13,17,13,64,10,24,26,20,9,36,24,Mar-12
49,14,19,22,8,13,7,31,23,17,82,69,213,117,23,16,12,4,10,19,27,44,105,27,19,45,173,92,21,12,7,5,20,43,32,14,17,10,9,69,5,23,30,17,14,29,31,Apr-12
51,28,11,17,10,8,12,29,22,22,105,86,236,127,18,7,15,9,6,20,40,55,123,16,20,41,206,86,25,19,4,8,32,45,25,18,15,14,9,76,6,25,22,23,9,20,34,May-12
65,18,14,22,8,8,16,22,26,27,85,71,261,126,18,13,19,7,13,20,37,56,131,29,14,43,228,89,26,16,11,8,29,31,29,16,9,18,11,85,14,33,22,19,14,29,24,Jun-12
55,14,22,13,10,10,23,42,26,25,110,66,256,121,29,9,16,11,9,21,37,57,144,26,17,36,221,100,31,15,6,14,28,31,14,12,20,18,12,82,14,19,14,10,16,25,22,Jul-12
59,17,13,15,18,5,18,39,22,24,83,72,255,124,18,15,12,6,9,14,27,46,137,28,14,42,218,108,19,11,10,15,20,26,27,13,13,16,7,73,15,25,34,20,14,35,25,Aug-12
44,18,17,27,9,11,21,32,22,22,100,89,219,106,33,12,17,8,3,21,34,41,121,14,12,45,176,85,29,20,8,8,20,33,25,11,7,15,7,52,16,18,25,14,20,19,27,Sep-12
45,9,11,26,13,7,20,31,22,16,89,78,260,123,28,13,12,12,11,21,29,36,118,15,6,43,208,82,29,17,7,8,33,31,21,13,18,19,7,70,13,27,29,9,19,20,20,Oct-12
40,12,17,21,14,14,14,37,16,20,83,53,233,117,20,9,14,5,5,17,22,38,114,17,19,38,197,99,22,14,6,12,23,36,14,11,14,10,8,65,15,14,21,23,11,28,24,Nov-12
49,8,14,7,13,9,24,42,24,12,94,85,259,97,23,11,16,14,12,8,38,53,112,20,10,39,192,80,24,14,6,12,21,39,17,23,19,11,2,70,19,26,22,16,20,28,24,Dec-12
35,19,10,12,9,10,17,29,16,11,76,60,212,95,24,9,10,10,6,15,30,48,97,14,21,31,169,104,13,17,8,7,18,27,12,8,10,11,10,63,10,15,22,16,13,17,23,Jan-13
41,14,6,12,5,13,16,26,9,11,69,72,189,92,24,9,8,4,8,20,19,49,114,14,12,42,172,88,26,18,10,6,20,28,15,12,17,10,10,51,13,21,21,20,19,10,16,Feb-13
45,9,5,15,9,14,13,36,16,15,70,83,188,102,11,14,7,13,3,18,25,37,109,23,9,35,208,94,19,13,7,3,14,34,10,7,13,12,9,57,7,21,17,28,11,26,26,Mar-13
53,23,15,25,6,11,20,29,27,19,98,79,219,109,24,10,9,7,4,16,41,43,109,18,13,51,196,84,23,23,6,10,19,43,22,11,19,15,10,70,14,25,30,18,16,21,16,Apr-13
58,13,18,17,19,5,20,32,13,20,101,81,221,123,28,8,19,8,4,18,40,57,126,20,14,33,201,82,16,14,1,11,20,28,27,14,12,11,13,75,14,21,32,20,16,24,20,May-13
43,15,11,22,4,11,20,41,13,28,83,71,255,127,24,15,15,11,6,22,38,61,128,32,14,42,215,101,24,13,6,11,24,27,15,7,14,17,7,67,12,25,27,18,15,24,26,Jun-13
45,12,13,22,16,17,31,32,26,16,96,106,250,142,24,25,13,11,9,15,28,36,135,16,16,45,210,90,30,24,5,15,30,42,22,16,20,24,13,84,22,28,20,15,15,21,24,Jul-13
47,12,10,21,12,13,22,35,21,19,89,89,194,122,16,11,19,4,5,18,38,46,142,21,21,40,187,100,26,18,7,12,28,42,25,15,12,19,1,73,13,22,23,23,13,20,19,Aug-13
45,15,12,22,8,12,19,32,28,22,96,60,217,98,32,10,14,11,5,10,27,40,129,18,11,33,162,73,16,16,7,8,13,25,19,7,12,16,9,74,8,24,19,12,12,26,22,Sep-13
53,10,21,14,10,12,22,26,29,24,90,76,261,123,22,15,15,7,3,14,25,48,120,15,24,38,220,123,17,15,6,7,21,34,24,11,22,8,13,65,11,23,22,20,9,29,22,Oct-13
49,14,19,23,2,9,18,32,10,18,88,82,244,112,22,10,11,7,5,17,33,38,101,26,18,37,209,76,14,17,9,3,14,19,23,11,11,17,8,75,11,30,15,26,11,24,23,Nov-13
39,20,9,18,8,4,10,32,23,25,94,62,221,108,18,16,12,16,7,11,32,57,114,22,9,29,187,83,20,14,4,17,11,34,13,12,15,11,6,62,14,23,29,12,7,19,14,Dec-13
43,10,13,19,5,10,14,30,21,11,82,71,165,98,17,8,9,6,2,12,26,39,100,19,14,26,140,89,12,16,10,6,19,26,15,6,14,14,10,38,12,29,21,15,11,12,19,Jan-14
34,14,10,19,6,10,13,25,15,19,59,59,184,101,15,10,11,2,3,10,22,49,83,17,10,25,170,57,13,9,7,6,16,28,12,12,4,14,8,63,7,21,20,13,7,18,14,Feb-14
43,13,12,11,4,8,21,29,27,14,80,82,184,109,20,9,13,9,6,10,39,30,122,11,10,39,176,69,19,20,9,8,19,32,13,14,12,15,9,71,7,29,18,16,16,22,14,Mar-14
46,20,6,17,10,7,9,35,22,18,101,78,218,129,25,7,9,14,7,13,26,40,104,19,16,49,175,113,21,22,1,7,22,33,12,8,18,9,11,45,8,26,37,19,16,37,18,Apr-14
65,10,16,16,10,13,24,32,21,18,93,68,213,109,20,9,22,9,8,15,28,46,107,20,13,42,211,100,22,20,8,4,13,36,14,11,17,17,12,70,7,22,26,15,11,32,16,May-14
55,19,20,15,12,15,18,27,24,17,84,84,247,143,24,8,11,9,5,15,27,52,124,25,10,47,198,88,18,11,11,9,25,39,15,7,11,14,12,74,9,37,26,20,10,26,34,Jun-14
41,23,14,27,11,9,10,31,20,19,101,81,247,126,17,17,15,7,17,17,35,38,131,23,16,49,221,116,24,18,9,8,20,31,16,11,12,16,9,77,19,26,28,22,17,24,19,Jul-14
51,16,12,27,7,8,17,41,15,12,86,83,243,103,12,10,10,13,6,15,33,47,112,22,23,48,182,72,16,15,6,10,29,28,16,13,21,17,10,63,9,25,23,17,13,27,25,Aug-14
55,17,11,6,11,7,13,41,24,22,83,70,190,106,22,11,11,14,5,18,32,38,114,15,11,43,165,96,14,7,10,9,24,36,14,10,21,19,8,69,16,29,28,14,23,22,28,Sep-14
43,18,22,22,9,9,16,34,24,26,99,74,238,113,16,17,16,11,7,14,33,50,101,32,16,45,195,73,23,14,5,13,20,30,12,8,16,22,10,71,12,29,21,17,13,24,25,Oct-14
44,16,7,16,8,11,21,27,20,17,65,55,204,91,13,15,12,7,6,16,23,45,111,16,16,36,165,69,22,19,6,9,21,37,9,8,14,17,4,54,8,16,17,21,23,21,10,Nov-14
48,9,15,14,5,12,9,35,19,11,85,71,200,101,13,10,10,7,5,15,18,36,96,18,11,49,170,94,26,19,5,6,26,30,15,16,11,14,9,79,13,18,16,14,9,16,19,Dec-14
26,14,7,14,6,9,16,24,15,10,75,61,177,102,24,9,17,6,3,15,30,31,76,21,12,41,182,66,9,9,5,8,17,17,11,6,17,16,5,56,6,17,14,14,12,20,17,Jan-15
46,14,11,15,8,5,17,36,18,11,53,75,177,98,21,7,12,6,6,15,22,30,104,25,18,30,153,67,24,19,7,3,15,22,13,9,9,15,15,65,9,19,25,17,16,23,11,Feb-15
39,23,12,20,5,10,24,26,18,24,95,63,180,89,22,13,14,7,4,8,25,30,107,18,9,23,205,83,16,14,5,8,13,25,9,13,15,22,12,66,8,14,18,18,4,22,17,Mar-15
49,8,12,19,5,8,22,27,14,15,70,54,205,101,20,10,15,3,6,14,18,36,93,17,11,44,176,70,22,12,11,5,11,31,18,8,9,14,9,71,10,24,15,17,16,24,13,Apr-15
43,16,7,14,3,3,11,25,17,15,84,72,211,102,17,13,8,6,6,24,21,41,98,23,12,32,162,73,21,9,6,12,19,36,10,5,8,10,8,69,22,19,25,14,15,27,22,May-15
52,18,14,18,4,6,19,31,21,13,98,85,259,106,15,15,22,6,11,16,32,42,103,18,19,34,182,87,25,10,6,13,27,23,9,6,13,16,13,93,13,19,32,11,9,25,13,Jun-15
51,16,14,19,11,8,19,39,20,22,86,75,215,142,15,11,16,6,6,16,22,35,121,22,14,35,192,99,26,14,3,15,21,30,17,7,14,10,9,65,15,19,28,16,20,22,20,Jul-15
49,12,9,20,9,6,11,40,21,14,82,68,171,114,17,9,11,7,6,15,28,31,98,16,12,29,190,77,15,19,9,6,26,32,15,10,13,17,9,54,10,16,30,18,13,23,15,Aug-15
46,20,10,24,11,8,8,23,25,21,61,77,179,108,15,11,8,6,2,10,28,42,98,31,9,28,165,81,16,16,7,6,18,32,17,13,11,13,10,56,8,15,23,21,14,14,16,Sep-15
41,13,10,16,10,8,17,26,21,16,91,71,180,123,19,9,15,5,7,8,31,38,96,8,14,31,164,68,21,13,14,13,28,26,22,11,11,11,5,50,18,25,25,19,12,24,28,Oct-15
46,12,13,8,7,3,17,25,21,14,71,85,171,108,21,9,7,5,8,19,30,39,104,27,11,20,152,84,20,11,11,6,28,25,19,6,13,11,9,58,2,11,22,16,15,17,25,Nov-15
45,16,17,11,8,8,7,23,18,17,89,92,181,118,26,9,4,9,8,15,27,47,101,18,16,29,151,90,15,4,6,7,12,25,27,12,11,12,4,70,14,19,25,18,15,16,17,Dec-15
